,asin,cat,rating,reviews,price,vp,fsa_flg,eff_max_str,eff_fast_acting,eff_long_lasting,eff_non_drowsy,eff_kid,count,brand_cat,inch,beni_count,weight_in_ounces,manu2,origin_country,sym_throat,sym_stomach,sym_sneezing,sym_sinus,sym_pain,sym_nose,sym_nausea,sym_nasal,sym_migranie,sym_menstrual,sym_itchy,sym_heart,sym_headache,sym_flu,sym_fever,sym_eyes,sym_digestion,sym_cough,sym_cold,sym_chest,sym_arthritis,sym_allergy,sym_acid,ingre_zinc,ingre_simethicone,ingre_pulsatilla,ingre_phosphorus,ingre_phenylephrine,ingre_perfoliatum,ingre_peppermint,ingre_omeprazole,ingre_naproxen,ingre_menthol,ingre_magnesium,ingre_loratadine,ingre_kali,ingre_ipecacuanha,ingre_ibuprofen,ingre_hydrobromide,ingre_guaifenesin,ingre_gelsemium,ingre_fexofenadine,ingre_famotidine,ingre_eupatorium,ingre_eucalyptus,ingre_esomeprazole,ingre_echinacea,ingre_doxylamine,ingre_diphenhydramine,ingre_dextromethorphan,ingre_chlorpheniramine,ingre_cetirizine,ingre_calcium,ingre_bryonia,ingre_antihistamine,ingre_aluminum,ingre_acetaminophen
402,B00028PDZW,cold,4.3,254,17.95,0.2395543175487465,0,0,0,0,0,0,,other,4.73,0,0.74,others,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,B00028PZIM,cold,4.7,479,12.65,0.3715415019762846,0,0,0,0,0,0,,other,11.07,0,0.96,others,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,B002H0KYRA,cold,4.7,1099,7.99,0.5882352941176471,0,1,0,0,0,0,,airborne,,0,1.6,rb,USA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
409,B01IAI72ZO,cold,4.7,186,17.98,0.2614015572858732,0,1,0,0,0,0,,afrin,64.68,3,4.16,merck,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,B079112JWM,cold,4.8,185,30.78,0.15594541910331383,0,0,0,0,0,0,60.0,boiron,13.1532,2,0.01,boiron,,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
411,B081D8ZDF3,cold,3.9,643,8.49,0.45936395759717313,0,0,0,0,0,0,,other,,3,,others,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
414,B08PQ62FSR,cold,4.2,331,13.5,0.3111111111111111,1,0,0,0,1,0,24.0,other,,3,,others,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,B0937TPKTR,cold,4.6,12467,5.62,0.8185053380782917,0,0,0,0,0,0,160.0,amazon basic care,212.625,3,16.64,ama,USA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
416,B0764GRFBG,cold,4.5,174,30.25,0.1487603305785124,0,0,0,0,0,0,24.0,other,21.375,2,1.6,emc,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,B00UDS23K4,cold,4.4,206,38.96,0.11293634496919919,0,0,0,0,0,0,60.0,other,,2,,major,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,B08J2NXJD7,cold,4.5,207,18.99,0.2369668246445498,0,0,0,0,0,0,,other,7.774948000000001,0,0.32,others,New Zealand,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,B00EFRUNI8,cold,4.7,925,13.97,0.3364352183249821,1,1,1,0,0,0,20.0,mucinex,25.632425,2,1.45,rb,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
422,B0BHF45829,cold,3.8,154,13.49,0.2816901408450704,0,0,0,0,0,0,,other,,1,,others,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,B07RYZ9JDJ,cold,4.6,4211,9.99,0.4604604604604604,0,0,1,0,0,0,200.0,other,19.2,0,3.2,others,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,B09ZQ3ZLHY,cold,4.6,4621,5.95,0.7731092436974789,0,0,0,0,0,0,50.0,healtha2z,,0,,allegiant,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,B000TQES8K,cold,4.3,1577,14.66,0.2933151432469304,0,0,0,0,0,0,,other,,0,,others,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,B09ZQ2N12H,cold,4.6,4912,5.95,0.7731092436974789,0,0,0,0,0,0,60.0,healtha2z,,0,,allegiant,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,B08G9FX8DG,cold,4.6,121,49.99,0.09201840368073613,1,1,1,0,0,0,24.0,mucinex,90.56736,9,6.72,rb,,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
436,B09T263VVS,cold,3.7,672,11.99,0.3085904920767306,0,0,0,0,0,0,1.0,other,3.0,2,1.39,others,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,B0787D4ZG3,cold,4.8,987,34.0,0.1411764705882353,0,0,0,0,0,0,,airborne,,0,,rb,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,B07MKVLYD9,cold,4.1,462,19.89,0.20613373554550024,0,0,0,0,0,0,,other,,0,,others,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,B08RL1SW5D,cold,4.8,620,44.99,0.10669037563903089,1,0,1,1,0,0,100.0,mucinex,99.15596800000002,0,4.48,rb,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,B004L4XC3I,cold,4.4,1035,12.0,0.3666666666666667,0,0,0,0,0,0,,other,7.317700000000001,0,1.45,others,New Zealand,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,B08DHKXXQ7,cold,4.3,1591,15.99,0.26891807379612254,0,0,0,0,0,0,,other,,1,,others,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448,B005GNRIGU,cold,4.2,117,14.99,0.2801867911941294,0,0,0,0,1,0,,vicks,32.13099999999999,0,9.97,pg,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
449,B00NNR2SOS,cold,4.5,562,11.79,0.3816793893129771,1,0,0,0,0,0,,hyland's,8.0,0,1.6,hyland,USA,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
452,B000UEBG9K,cold,4.2,256,8.65,0.48554913294797686,0,0,0,1,0,0,,quality choice,20.0,0,4.0,qa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
454,B01IAIM902,cold,4.6,883,21.96,0.209471766848816,0,0,0,0,1,0,,zicam,27.72,2,2.89,dwight,USA,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,B001GCU092,cold,4.7,437,20.19,0.23278850916295196,0,0,0,0,0,0,,other,,0,1.76,boiron,,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459,B01JA13Y5C,cold,4.3,985,19.99,0.21510755377688845,1,0,0,0,0,0,125.0,other,,1,,others,USA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,B0B8SGDXFJ,cold,4.0,117,11.45,0.3493449781659389,0,0,0,0,0,1,1.0,other,,3,,others,China,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,B001O2A6F2,cold,4.7,533,15.44,0.30440414507772023,1,0,0,0,0,1,,dimetapp,16.0,3,8.0,gsk,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,B073V2R8TF,cold,4.7,270,20.45,0.22982885085574573,0,1,1,0,0,0,6.0,theraflu,360.0,2,6.38,gsk,,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,B0B65ZHNHY,cold,4.3,506,18.95,0.22691292875989447,0,0,1,0,0,0,,other,7.800000000000001,0,1.45,others,USA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,B082LSFYBH,cold,4.2,635,11.1,0.3783783783783784,0,0,0,0,0,0,,other,16.2,2,1.0,others,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,B00FUMQPQ6,cold,4.7,251,28.98,0.1621808143547274,0,0,0,0,0,0,30.0,boiron,,3,,boiron,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,B07Q24256B,cold,3.9,1882,57.99,0.06725297465080186,0,0,0,0,0,0,,other,,0,,others,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,B005HH0PWO,cold,4.8,449,22.55,0.212860310421286,0,0,0,0,0,0,25.0,other,360.0,3,4.16,others,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,B081D9SCFM,cold,3.9,358,6.49,0.6009244992295839,0,0,0,1,0,0,,other,,3,,others,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
478,B01FWS60RG,cold,4.7,692,20.22,0.23244312561819983,0,1,1,0,0,0,16.0,other,11.073777,0,1.76,others,USA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,B001IAJIDQ,cold,4.6,581,14.77,0.31144211238997965,0,0,0,0,0,0,,other,,0,8.6,others,USA,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
482,B086WMG165,cold,3.7,165,8.65,0.4277456647398844,0,0,0,0,0,1,6.0,other,0.30625,0,0.78,others,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,B09LKJ9ZKT,cold,4.7,746,11.0,0.4272727272727273,0,0,0,0,0,0,,airborne,,0,,rb,USA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
484,B07TC5ZKHW,cold,4.6,255,24.99,0.1840736294517807,0,0,0,0,0,1,,dimetapp,59.83087,0,4.8,others,,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,B07MGJZJJ7,cold,4.7,163,35.61,0.13198539736029205,0,1,0,0,0,0,,afrin,,0,,bayer,,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,B00IARTQDW,cold,4.8,522,42.0,0.11428571428571428,0,0,1,0,0,0,20.0,coricidin hbp,86.85600000000002,2,1.45,merck,USA,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
487,B00L28Z3FQ,cold,4.7,104,6.99,0.6723891273247496,0,0,0,0,0,0,100.0,other,12.0,0,1.6,others,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,B01DCPUN8I,cold,4.8,290,23.98,0.2001668056713928,0,1,0,0,0,0,48.0,mucinex,,0,,rb,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,B09XPDMTB6,cold,4.7,1549,30.95,0.1518578352180937,1,1,0,1,0,0,100.0,welmate,,3,,welmate,India,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,B07KWHMRFS,cold,4.2,308,14.75,0.2847457627118644,0,0,1,0,0,1,,other,,1,,others,,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,B012FV7WPW,cold,4.7,501,24.93,0.188527878058564,0,0,0,0,1,0,,other,,0,2.72,sanofi,,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,B09FTJWH19,cold,4.1,309,26.99,0.1519081141163394,0,0,0,0,1,0,20.0,other,63.984375,0,5.37,others,USA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
502,B081P3GBH2,cold,4.1,2707,29.99,0.13671223741247082,0,0,0,0,0,0,28.0,other,,0,,others,,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,B09ZQ6W339,cold,4.0,175,11.2,0.35714285714285715,0,0,0,0,0,0,,other,16.83,0,1.0,others,USA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,B005239K9C,cold,4.2,128,15.09,0.2783300198807157,0,0,0,0,0,0,,other,,0,0.01,others,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,B09L8HRPFC,cold,4.4,127,19.29,0.2280974598237429,0,0,0,0,0,0,,other,,0,,others,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
508,B086WNL5N2,cold,3.8,104,8.65,0.43930635838150284,0,0,0,0,0,1,6.0,other,,0,,others,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,B07HD7CZM1,cold,4.7,387,7.9,0.5949367088607594,1,1,0,0,0,0,10.0,coricidin hbp,9.9,0,,bayer,,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
510,B087QTTH44,cold,4.7,387,14.9,0.31543624161073824,1,1,1,0,1,0,20.0,alka-seltzer plus,16.499956,0,2.83,alka,,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
511,B008439S8A,cold,4.0,158,16.47,0.24286581663630846,0,0,0,0,0,1,,other,,0,,others,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,B01LZ8FNF1,cold,4.4,143,14.99,0.2935290193462308,0,0,0,0,0,0,,other,,0,,others,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513,B000QUIWXQ,cold,4.7,176,18.97,0.2477596204533474,1,0,0,0,1,0,,other,,0,3.52,nw,USA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514,B08HMQ7JDY,cold,4.6,3290,8.59,0.5355064027939465,0,0,1,0,1,0,200.0,safrel,,0,,safrel,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,B08GVBN952,cold,4.7,153,20.98,0.22402287893231648,0,1,1,0,1,0,20.0,alka-seltzer plus,50.97600000000001,0,5.38,bayer,,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
517,B001GCU09M,cold,4.5,338,33.0,0.13636363636363635,0,0,0,0,1,0,60.0,boiron,13.1532,0,1.15,boiron,,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
518,B00EVZYSR6,cold,4.6,122,17.95,0.2562674094707521,0,0,0,0,0,0,,chloraseptic,,1,,prestige,,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519,B015UQKMQA,cold,4.7,1133,26.77,0.17556966753828915,1,1,0,0,0,0,,afrin,,0,,bayer,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522,B07KHMNHTJ,cold,4.2,157,10.57,0.3973509933774835,0,0,0,0,0,0,5.0,other,,0,,others,,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
523,B00W7X43V0,cold,4.4,106,20.39,0.21579205492888673,0,0,0,0,0,0,,other,,0,,others,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,B000LXWHXE,cold,4.1,680,12.95,0.3166023166023166,0,0,0,0,0,0,,other,3.7,0,1.6,others,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527,B09PC9T9ZY,cold,4.6,149,9.99,0.4604604604604604,1,1,0,0,1,0,,other,,7,,others,,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
529,B0083V5JKO,cold,4.7,143,21.95,0.214123006833713,0,0,0,0,0,0,,other,3.5,3,0.63,others,,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531,B000VYROMW,cold,4.4,390,13.99,0.31451036454610437,0,1,0,0,0,0,100.0,medinatura,84.0,2,0.71,bhi,,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,B077X6N5KS,cold,4.1,1596,17.99,0.22790439132851584,0,0,0,0,0,1,,other,,0,,others,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534,B007QQGDF2,cold,4.8,555,26.05,0.1842610364683301,0,0,0,0,0,0,1.0,other,,0,,others,,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
