,enrollment,indus,national_cancer_institute_(nci)_as_sponsor,location_count,us_lead,include_country_united states,number_of_measures,lead_aes,lead_mtd,lead_dlt,measure_mtd,measure_cmax,measure_os,measure_dor,measure_dlt,measure_aes,measure_tmax,condition_count,intervention_count,biological_included,drug_included,procedure_included,radiation_included,ccat,random,purp_prev,purp_treat,label_open,label_nopen,cross,y_class
45,45.0,0,True,1,1,True,1,0,0,0,False,False,False,False,False,False,False,1,4,False,True,False,True,0,0,0,1,1,0,0,1
46,39.0,0,True,20,1,True,2,0,0,0,False,False,True,False,False,False,False,1,1,False,False,False,True,0,0,0,1,1,0,0,1
47,65.64504283965728,0,True,1,1,True,1,0,0,0,False,False,False,False,False,False,False,1,2,True,False,False,False,0,0,0,1,0,0,0,0
48,18.0,1,False,8,1,True,16,1,0,0,False,True,True,False,True,True,True,1,1,False,True,False,False,1,0,0,1,1,0,0,0
49,9.0,0,True,1,1,True,2,0,0,0,False,False,False,False,False,False,False,2,2,False,True,True,False,0,0,0,1,1,0,0,1
50,32.0,0,True,1,1,True,2,0,0,0,False,False,False,False,False,False,False,1,1,False,False,False,False,0,0,0,1,1,0,0,1
51,53.0,0,False,5,1,True,5,0,1,0,True,False,True,False,False,False,False,1,1,False,True,False,False,1,0,0,1,1,0,0,1
52,18.0,1,False,5,0,False,3,0,0,0,False,False,True,False,False,False,False,1,2,False,True,False,False,0,0,0,1,1,0,0,0
53,9.0,0,False,2,0,False,6,1,0,0,False,False,False,False,False,True,False,1,1,True,False,False,False,0,0,0,1,1,0,0,0
54,13.0,1,False,5,1,True,6,1,0,0,False,False,True,False,False,True,False,1,2,True,True,False,False,0,0,0,1,1,0,0,0
55,12.0,0,False,1,0,False,9,1,0,0,False,False,True,False,False,True,False,1,2,False,True,False,False,0,0,0,1,1,0,0,0
56,30.0,0,False,1,0,False,1,0,0,0,False,False,False,False,False,False,False,1,2,False,True,False,False,0,0,0,1,1,0,0,0
57,25.0,1,False,6,1,True,14,0,0,0,False,True,True,True,False,False,False,1,5,False,True,False,False,1,1,0,1,1,0,0,0
58,24.0,0,False,1,0,False,5,0,0,0,False,False,False,False,False,False,False,1,2,False,True,False,False,0,0,0,1,1,0,0,0
59,23.0,0,False,1,1,True,1,0,0,0,False,False,False,False,False,False,False,1,4,False,True,False,False,0,0,0,1,1,0,0,1
60,15.0,1,False,3,0,False,8,0,1,0,True,False,True,False,False,False,False,2,1,True,False,False,False,0,0,0,1,1,0,0,0
61,27.0,1,False,8,1,True,13,0,0,1,False,False,True,True,True,True,False,1,2,False,True,False,False,1,0,0,1,1,0,0,0
62,9.0,0,False,1,0,False,4,1,0,0,False,False,False,False,False,True,False,1,1,True,False,False,False,0,0,0,1,1,0,0,1
63,30.0,1,False,4,1,True,3,1,0,0,False,False,False,False,False,True,False,1,2,False,True,False,False,0,0,0,1,1,0,0,0
64,10.0,0,True,1,1,True,2,0,0,0,False,False,False,False,False,False,False,1,2,False,True,True,False,0,0,0,1,1,0,0,0
65,26.0,0,False,1,1,True,7,1,0,0,False,False,False,False,False,True,False,1,1,False,True,False,False,1,0,0,1,1,0,0,1
66,306.0,1,False,73,1,True,4,0,0,0,False,False,False,True,False,False,False,1,1,False,True,False,False,0,1,0,1,1,0,0,0
67,4.0,1,False,3,1,True,5,0,0,0,False,False,False,False,False,False,False,1,3,False,False,False,True,0,0,0,1,1,0,0,0
68,29.0,1,False,5,1,True,13,1,0,0,False,False,False,True,False,True,False,1,3,False,True,False,True,1,0,0,1,1,0,0,0
69,18.0,0,False,1,0,False,4,1,0,0,False,False,False,False,False,True,False,1,1,True,False,False,False,0,0,0,1,1,0,0,1
70,22.0,1,False,8,1,True,16,0,0,1,False,False,False,True,True,True,False,2,2,False,True,False,False,0,0,0,1,1,0,0,0
71,48.0,1,False,5,0,False,2,0,0,0,False,False,False,False,False,False,False,1,2,False,True,False,False,0,0,0,1,1,0,0,0
72,30.0,0,False,1,0,False,3,0,0,0,False,False,False,False,False,False,False,2,8,False,True,True,False,0,0,0,1,1,0,0,0
73,30.0,1,False,1,0,False,9,0,0,0,False,False,True,True,False,False,False,1,2,False,True,False,False,1,1,0,1,1,0,0,0
74,29.0,1,False,11,1,True,8,0,0,1,False,False,True,True,True,False,False,1,3,False,True,False,False,0,0,0,1,1,0,0,1
75,44.0,1,False,1,0,False,16,0,0,0,False,True,True,True,False,False,True,1,1,True,False,False,False,1,1,0,1,1,0,0,1
76,18.0,1,False,3,1,True,1,0,0,0,False,False,False,False,False,False,False,1,1,False,True,False,False,1,0,0,1,1,0,0,0
77,69.0,1,False,8,1,True,5,0,0,0,False,False,False,False,False,False,False,1,1,False,True,False,False,1,1,0,1,1,0,0,0
78,38.0,1,False,1,0,False,16,0,0,0,False,False,True,True,False,True,False,1,1,True,False,False,False,0,0,0,1,1,0,0,0
79,26.0,0,False,2,1,True,2,0,0,0,False,False,False,False,False,False,False,1,1,False,True,False,False,0,0,0,1,1,0,0,1
80,24.0,1,False,7,1,True,1,0,0,1,False,False,False,False,True,False,False,1,3,True,False,False,False,1,0,0,1,1,0,0,0
81,14.0,0,False,1,1,True,8,0,0,0,False,False,True,False,False,False,False,1,4,False,True,False,False,1,0,0,1,1,0,0,0
82,52.0,1,False,17,1,True,16,0,0,1,False,True,True,False,True,True,False,1,3,False,True,False,False,1,0,0,1,1,0,0,1
83,65.64504283965728,0,True,2,1,True,1,0,0,0,False,False,False,False,False,False,False,1,1,False,True,False,False,0,1,1,0,0,1,0,0
84,16.0,0,False,1,1,True,6,0,0,0,False,False,False,False,False,False,False,2,2,False,True,False,False,1,0,0,1,1,0,0,0
85,35.0,0,True,2,1,True,7,1,0,0,False,False,True,False,False,True,False,1,2,False,True,False,False,0,0,0,1,1,0,0,1
86,9.0,0,True,1,1,True,7,0,0,0,False,False,True,False,False,False,False,2,6,False,True,True,False,0,0,0,1,1,0,0,0
87,18.0,1,False,1,0,False,8,0,0,0,False,False,False,False,False,True,False,1,3,False,True,False,False,0,0,0,1,1,0,0,0
88,6.0,0,True,1,1,True,2,0,0,0,False,False,False,False,False,False,False,1,1,True,False,False,False,0,0,0,1,1,0,0,0
89,12.0,1,False,2,0,False,1,0,0,0,False,False,False,False,False,False,False,1,1,False,True,False,False,1,0,0,1,1,0,0,0
90,23.0,0,False,1,1,True,10,1,0,0,False,False,True,False,False,True,False,2,4,False,True,False,False,0,1,0,1,1,0,0,0
91,50.0,1,False,7,0,False,6,0,0,0,False,False,False,False,False,False,False,1,1,False,True,False,False,0,0,0,1,1,0,0,1
92,15.0,1,False,1,0,False,8,0,0,1,False,True,False,False,True,True,True,1,4,False,True,False,False,1,0,0,1,1,0,0,0
93,12.0,1,False,1,0,False,2,1,0,0,False,False,False,False,False,True,False,1,3,False,True,False,False,1,0,0,1,1,0,0,0
94,15.0,0,True,1,1,True,3,0,0,0,False,False,True,False,False,False,False,1,1,False,True,False,False,1,0,0,1,1,0,0,0
95,19.0,0,False,1,1,True,5,0,0,0,False,False,True,False,False,False,False,1,1,False,True,False,False,0,0,0,1,1,0,0,1
